Type	Genus	Tube colour	Botanical name	Common name	States	NW	LE	NU	GT	FR	EA	EP	NL	MU	YP	SL	KI	SE	Height (m)	Spread (m)	Rain (mm)	Soil texture	Soil pH	Frost	Flower colour	Flower (time)	License	Attribution link	Attribution Label
Trees and Shrubs	Acacia 	B	acinacea 	round-leaved wattle	"SA, N,V"			I	I	V		I	R	R	R	I	E	I	1-2	1-2	300	"Sa,Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	anceps	Port Lincoln wattle	"SA, W"			I				I							1-3	1-3	250	"Sa,Li"	ANC	M	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	aneura	mulga	"SA,Q,N,W,NT"	I	I	I	I	R	I	R		R					4-10	3-6	150	"Sa,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	argyrophylla	golden-grey mulga	"SA,V"					R	R		R	I	E	E			1-5	2-6	350	"Sa,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	baileyana var. purpurea	purple Cootamundra wattle	Form														5-8	4-7	500	"Lo,Cl"	AN/C	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	brachybotrya	grey mulga	"SA,N,V"			R				R	I	I	R	E	V	I	2-4	1.5-4	250	"Sa,Lo,Cl,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	calamifolia	wallowa 	"SA,N,V"				R	I	I		R	R	R	R			2-5	2-4	200	"Sa,Lo,Cl,Li"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	continua	thorn wattle	"SA,N"				R	I	I	I	T		R	I		I	1-2	1-2	300	"Sa,Lo,Cl"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	cultriformis	knife-leaf wattle	"Q,N"														2-4	2-4	450	"Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	cupularis	coastal umbrella bush	SA			R		R		I	T	I	I	R	I	I	2-3	2-3	200	"Sa,Lo,Li"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	cyperophylla	red mulga	"SA,NT,Q,N"		I												4-12	3-8	150	"Sa,Lo,Cl"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	dodonaeifolia	sticky wattle 	SA							R		R		I	I	I	2-7	3-5	550	"Sa,Cl,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	estrophiolata	ironwood	"SA,W,NT"	I	I												5-10	3-10	150	"Sa,Lo"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	farinosa	mealy wattle	"SA,V"				R			I		T	I	X	V	I	1-2	2-4	350	"Sa, Lo, Li"	ANC	M	Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	fimbriata	fringed wattle	"Q,N"														5-8	3-5	550	"Lo,Cl"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	G	fimbriata Dwarf Form	dwarf fringe wattle	cultivar														1.5-2	1-1.5	500	"Lo,Cl"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	floribunda	gossamer wattle	"Q,N,V"														4-7	4-6	550	"Lo,Cl"	AN/C	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	gillii	Gill's wattle	SA							T							3-5	2-4	500	"Sa,Lo,Cl"	ANC	M	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	glandulicarpa	hairy-pod wattle	"SA,V"								E	E				E	1-3	1-3	350	"Sa,Lo"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	glaucoptera	clay wattle	W														0.5-1.5	1-3	500	"Lo,Cl"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	gracilifolia	graceful wattle	SA					R									2-4	2-4	300	"Sa,Lo"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	gunnii	ploughshare wattle	"SA,Q,N,V,T"											R		T	0.2-0.8	1-2	500	"Sa,Lo,Cl"	AN	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	hakeoides	hakea wattle	"SA,Q,N,V,W"			R	R	I	I	I	I	I	I	I		I	2.5-4	3-5	250	"Sa,Lo"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	howittii	sticky wattle	V														4-8	3-6	450	"Lo,Cl"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	imbricata	imbricate wattle	SA							R							1-3	2-5	350	"Sa,Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	iteaphylla	Flinders Ranges wattle	SA				R	R		R			R				3-5	3-6	200	"Sa,Lo,Cl,Li"	ANC	M	Y	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	leiophylla		SA							I		I	I	I	I	I	2-3	1.5-3	500	"Sa, Lo, Li"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	ligulata	umbrella wattle	"SA,W,Q,NT,V"	I	I	I	I	I	I	I	I	I	I	I	I	I	2-4	4-6	150	"Sa,Lo,Cl Li"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	lineata	streaked wattle	"SA,Q,N,V"							R		R	R			E	0.5-3	1-3	500	"Sa,Lo,Cl"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	longifolia var. sophorae	coastal wattle	"SA,Q,V,T"							I		I	I	I	I	I	2-5	4-8	450	"Sa,Lo"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	melanoxylon SA forms	blackwood	"SA,Q,N,V,T"					E			R	R		I	R	I	7-20	4-10	500	"Lo,Cl"	AN/C	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	menzelii	Menzel's wattle	SA					V				V					1-2	2-3	350	"Sa,Lo"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	merrallii	Merrall's wattle	"SA, W"			R	R			I			E				1-1.5	2-3	250	"Sa,Lo,Li"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	microcarpa	manna wattle	"SA,N,V"					T		I	R	I	T	V		I	1-3	2-4	300	"Sa,Cl,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	montana	mallee wattle	"SA,Q,N,V"					E	E	R	E	V	E			I	2-4	2-5	325	"Sa,Cl,Lo,Li"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	murrayana	Murray's wattle	SA	I	I		R		I								2-6	2-7	150	"Sa,Lo"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	myrtifolia	myrtle wattle	"SA,Q,N,V,T,W"							R	E	V	R	I	I	I	1-2	1-2	500	"Lo,Cl"	AN/C	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	nematophylla		SA							T			I	I			2.5	2-3	450	"Sa,Lo,Cl"	ANC	R	Y	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	notabilis	notable wattle	"SA,N,V"				R	I	I	I	I	R	T	I		I	3-6	3-4	250	"Lo,Li,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	nyssophylla		"SA,W,NT,V"		I	I	I	T	I	I	I	I	E				2-3	3-4	200	"Sa,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	oswaldii	umbrella wattle	"SA,all but T"	I	I	I	I	I	I	I	I	I	I	E			3-5	3-5	150	"Sa,Lo,Li"	ANC	R	Y	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	papyrocarpa	western myall	"SA,W"	T	I	T	T	T		R			I				5-10	3-6	125	"Sa,Lo,Li"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	paradoxa 	kangaroo thorn	"SA,Q,N,V,T,W"					I	I	I	I	T	I	I	I	I	2-4	3-4	300	"Sa,Lo,Cl,Li"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	pendula	weeping myall	"Q,N,V,SA"						E								6-10	6-8	250	"Lo,Cl"	ANC	M	Y	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	G	pinguifolia	fat-leaved wattle	SA							E		E		E			1-2	1-2	400	"Sa,Lo,Cl"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	podalyriifolia	Mt Morgan wattle	"Q,N"														4-7	4-5	500	"Sa,Lo,Cl"	AN	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	pravissima	Oven's wattle	"N,V"														4-8	4-8	500	"Sa,Lo,Cl"	AN/C	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	pycnantha	golden wattle	"SA,N,V"				R	I	I	R	I	I	I	I	I	I	4-6	2-6	450	"Sa,Lo,Cl"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	retinodes 	wirilda	"SA,V,T"								V	R		I			5-8	3-7	500	"Lo,Cl"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	rhetinocarpa	neat wattle	SA							V		V	V	E		V	0.5-1.5	1-2	350	"Sa,Lo"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	rhigiophylla	dagger-leaved wattle	"SA,N"						E	V		E					1-2	2-4	350	"Sa,Lo"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	rigens	nealie	"SA,Q,N,V,W"				I	R	I	I	I	I	T	R		I	2-4	2-4	200	"Sa,Lo,Cl,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	rupicola	rock wattle	"SA,V"				R	I		I	I	R	I	I	R	R	1-2.5	1-2.5	350	"Sa,Lo,Cl,Li"	ANC	R	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	salicina	Broughton willow 	"SA,Q,N,V,NT"		I		R	I	I		T	V	T	V			4-10	3-5	300	"Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	sclerophylla var. sclerophylla	hard-leaf wattle	"SA,Q,N,V,W"	I			R			R		I	I	V		R	1-2	2-4	250	"Sa,Lo,Cl,Li"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	spectabilis	Mudgee wattle	"Q,N"														3-4	2-3	500	"Lo,Cl"	AN/C	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	spilleriana	Spiller's wattle	SA								E	E	E				1-3	1-3	350	"Sa,Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	spinescens	spiny wattle	SA				R	I		I	I	I	I	I	I	I	0.5-2	1-2	350	"Sa,Lo"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	stenophylla	river cooba	All states but T		I		R	I				T					5-15	3-6	250	"Sa,Lo,Cl,Li"	ANC	R	Y	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	triquetra	gold-dust wattle	SA							I			I		I	I	1-2	2-3.5	350	"Lo,Cl"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	verniciflua	varnish wattle	"SA,N,V,Q,T"											I			3-5	3-5	450	"Sa,Lo,Cl"	AN/C	M	Y	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	verticillata ssp ovoidea	prickly moses	"SA,N,V,T"					V			V	R		I	I	I	2-4	1-3	600	"Lo,Cl"	AN/C	M	Y	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	vestita	hairy wattle	N														3-4	3-4	500	"Lo,Cl"	AN/C	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	victoriae ssp victoriae	elegant wattle	"SA,all but T"		I	R	R	I	I	R	I	R	I	I			2-5	2-5	125	"Lo,Cl"	ANC	R	Y	"S,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	wilhelmiana	dwarf nealie	"SA,N,V"				R	I	I	R	I	I	E				1-3	2-3	250	"Cl,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Adenanthos	G	cuneatus	basket flower	W														0.5-3	1-3	400	"Sa,Lo,Cl"	AN/C	R	Pu/Bu	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Adenanthos	G	sericeus	coastal woolly bush	W														2-7	1-6	500	"Sa,Lo,Cl"	ANC	M	O	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Adenanthos	G	'Silver Cloud'	cultivar of A.sericeus	cultivar														1.5-2	1.5-2	500	"Sa,Lo,Cl"	ANC	M	O	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Adenanthos	G	'Silver Streak'	cultivar of A.sericeus	cultivar														2-2.5	1-1.5	500	"Sa,Lo,Cl"	ANC	M	O	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Adriana	B	quadripartita syn.klotzschii	coastal bitter bush	"SA,V"				R		R	I	V	R	R	I	I	I	1-2	1-3	350	"Sa,Lo"	ANC	M	R/Br	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Agonis	B	flexuosa	WA willow myrtle	W														5-12	4-9	500	"Sa,Lo,Cl,Li"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Agonis	G	flexuosa nana	dwarf willow myrtle	W														1-1.5	1-1.5	500	"Sa,Lo,Cl,Li"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	decaisneana	desert oak	"SA,W,NT"	I													5-12	3-8	200	Sa	ANC	R	I	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	luehmannii	bull oak	"SA,Q,N,V"									V				I	8-20	5-8	550	"Sa,Lo,Cl"	ANC	R	I	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	muelleriana ssp muelleriana	slaty sheoak	"SA,V"				I	I	I	I	R	I	T	I		I	1-3	2-3	400	"Sa,Lo,Cl"	ANC	M	I	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	pusilla	dwarf sheoak	"SA,V"							T		T	I	R		I	1-2	1-2	350	"Sa,Lo,Cl,Li"	ANC	R	I	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	striata	small bull oak	SA											I	I		1.5-4	1-3	550	"Sa,Lo,Cl"	AN	R	I	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	torulosa	rose sheoak	"Q,N"														6-20	6-8	600	"Lo,Cl"	AN	R	I	A	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	verticillata Coastal form	drooping sheoak	"SA,N,VT"							I		I	I	I	I	I	5-8	4-6	400	"Sa,Lo,Cl,Li"	ANC	R	"R,Br"	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	verticillata Dryland form  	drooping sheoak	"SA,N,V,T"					I	I	I	I	R	I			I	5-8	4-6	350	"Sa,Lo,Cl,Li"	ANC	R	"R,Br"	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Allocasuarina	B	verticillata Hills form	drooping sheoak	"SA,N,V,T"								I			I			5-8	4-6	500	"Sa,Lo,Cl,Li"	ANC	M	"R,Br"	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Alyogyne 	G	hakeifolia	desert hibiscus	"SA,W"			R				R							2-3	2-3	300	"Sa,Lo,Cl,Li"	ANC	M	"Y,Pu"	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Alyogyne 	G	huegelii	native hibiscus	"SA,W"	R			R	I	R	I	V		V	X			2-3	2-3	300	"Sa,Lo,Cl,Li"	ANC	M	Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Alyogyne 	G	huegelii  alba	native hibiscus	"SA,W"	R			R	I	R	I	V		V	X			2-3	2-3	300	"Sa,Lo,Cl,Li"	ANC	M	W	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Alyogyne 	G	huegelii Moora form		cultivar														2	2	300	"Sa,Lo,Cl,Li"	ANC	M	Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Alyogyne 	G	'Melissa Anne'	cultivar of A.hakeifolia	cultivar														2	1.5	300	"Sa,Lo,Li"	ANC	M	Pk/Pu	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Alyxia	G	buxifolia	sea box	SA	R			I	I		I		R	I	R	I	I	0.5-2	0.5-2	400	"Sa,Lo,Cl,Li"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Angophora	B	costata	smooth-barked apple	"Q,N"														10-20	6-12	550	"Sa,Lo,Cl"	ANC	M	W	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Astartea	G	fascicularis		W														1-3	2-3	350	"Lo,Cl"	AN/C	M	W	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Astartea	G	'Winter pink'		cultivar														0.5-1	0.5-1.5	450	"Sa,Lo,Cl"	AN	M	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Atriplex	B	cinerea	coastal saltbush	"SA,N,V,T,W"			I	R			I			I	I	I	I	1	1-2	350	"Sa,Li"	ANC	M	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Atriplex	B	nummularia	old man saltbush	"SA,Q,N,W,NT"		I				I					T			2-3	2-3	250	"Sa,Lo,Cl,Li"	ANC	R	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Atriplex	B	paludosa	marsh saltbush	"SA,W,V,Q"			I	R			I		R	I	I	I	I	0.5-1	0.5-1	300	"Sa,Lo,Cl"	ANC	R	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Atriplex	B	rhagodioides	river saltbush	"SA,N,V"				R					T				I	0.5-2	1-2	250	"Sa,Lo"	ANC	R	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Atriplex	B	vesicaria	bladder saltbush	"SA,N,V,W,NT"	I	I	I	I	I	I	I	I	T	I	T			0.5-1	1-2	250	"Sa,Lo,Cl"	ANC	R	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Austromyrtus 	G	'Copper Tops'	A. dulcis x tenuifolia	cultivar														0.5	1-1.5	600	"Sa,Lo,Cl"	AN	M	W	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Babingtonia syn Baeckea	B	behrii	silver broombush	"SA,W,V"	R			R			I		I		T		I	2-3	1-2	350	"Sa,Lo,Li"	ANC	R	W	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Babingtonia syn Baeckea	G	bidwillii - Dwarf Form	syn B.virgata dwarf															0.5-1	0.5-1	550	" Sa,Lo,Cl"	ANC	M	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs			Banksia																								CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	ashbyi	Ashby's banksia 	W														2-4	2-4	300	"Sa,Lo"	AN/C	M	O	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	baueri	possum banksia	W														2-5	2-3	400	"Sa,Lo"	AN	S/M	Cr/Br	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	baxteri	bird's-nest banksia	W														3-4	3-5	550	"Sa,Lo"	AN/C	M	Y/G	"S,A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	brownii	feather-leaved banksia	W														2-6	2-3	600	"Sa,Lo"	AN	S/M	R/Br	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	burdettii	Burdett's banksia	W														3-5	3-5	550	"Sa,Lo"	AN/C	R	O	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	caleyi	Caley's banksia	W														2-3	2-4	550	"Sa,Lo,Cl"	AN/C	R	R/Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	coccinea	scarlet banksia	W														2-4	1-2	600	"Sa,Lo"	AN	S/M	R	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	dryandroides	dryandra-leaved banksia	W														0.5-1.5	1-2	650	"Sa,Lo"	AN	R	O/Br	"S,A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	ericifolia	heath-leaved banksia	N														2-7	2-4	600	"Sa,Lo,Cl"	AN/C	M	O/R	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
